scenario,scenario_label,country,layer,DE,rho,multiplier,cum_dDWT,avg_dprice,exposure_channel,price_channel,structural_benchmark,avg_monthly_dlog,peak_month_dlog,pct_change_import,import_2024_usd,dollar_impact_usd
S3_6month_realignment,S3: 6-month persistent realignment,HRV,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,29363248.0,2270151.397094266
S3_6month_realignment,S3: 6-month persistent realignment,HUN,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,61086742.47,4722779.774301812
S3_6month_realignment,S3: 6-month persistent realignment,IDN,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,1075751.0,83169.19284867783
S3_6month_realignment,S3: 6-month persistent realignment,IND,urea,0.3030610514697296,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.03021171021065955,0.07446968103733087,-0.1434205319383928,-0.07729667973941677,-0.12965743723661302,-0.07438479841014232,2190245008.39,-162920933.41791064
S3_6month_realignment,S3: 6-month persistent realignment,IRL,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,124472693.404,9623317.516889714
S3_6month_realignment,S3: 6-month persistent realignment,ISL,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,2400374.874,185579.41457161252
S3_6month_realignment,S3: 6-month persistent realignment,ISR,urea,0.1538986315662747,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.015341928090557554,0.07446968103733087,-0.06889688402364595,0.0015635969794504307,0.0,0.0015648200345795367,49838000.0,77987.50088337495
S3_6month_realignment,S3: 6-month persistent realignment,ITA,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,369390285.879,28558552.976198755
S3_6month_realignment,S3: 6-month persistent realignment,JPN,urea,0.0592161550786017,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.005903171352267554,0.07446968103733087,-0.025660708960250165,0.04731574177066209,0.0,0.048452997229314815,119772181.993,5803321.202255819
S3_6month_realignment,S3: 6-month persistent realignment,KAZ,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,1267292.47,97977.77723014644
S3_6month_realignment,S3: 6-month persistent realignment,KGZ,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,8513795.0,658224.3086263542
S3_6month_realignment,S3: 6-month persistent realignment,KHM,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,110621856.63,8552472.205314483
S3_6month_realignment,S3: 6-month persistent realignment,KOR,urea,0.2275886523659584,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.022687977815590885,0.07446968103733087,-0.10464631679807174,-0.03626614217071652,-0.060977011140154816,-0.03561640381804152,306100178.0,-10902187.548422389
S3_6month_realignment,S3: 6-month persistent realignment,LTU,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,29362504.0,2270093.876460328
S3_6month_realignment,S3: 6-month persistent realignment,LUX,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,5575571.549,431062.37911968696
S3_6month_realignment,S3: 6-month persistent realignment,LVA,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,13665575.283,1056522.2492007464
S3_6month_realignment,S3: 6-month persistent realignment,MAC,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,127691.781,9872.193806169027
S3_6month_realignment,S3: 6-month persistent realignment,MAR,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,8347227.703,645346.5444909027
S3_6month_realignment,S3: 6-month persistent realignment,MDA,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,13799757.0,1066896.1973522608
S3_6month_realignment,S3: 6-month persistent realignment,MEX,urea,0.3519751874309746,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.03508788843844326,0.07446968103733087,-0.1698515397934377,-0.10526574260375542,-0.17667516881495307,-0.09991470020933922,535083650.0,-53462722.47666899
S3_6month_realignment,S3: 6-month persistent realignment,MKD,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,8365916.9,646791.4563984724
S3_6month_realignment,S3: 6-month persistent realignment,MLT,urea,0.2640586500605926,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.026323618213425912,0.07446968103733087,-0.12309355021896319,-0.055786844296479864,-0.09360889905446938,-0.05425929556790823,984642.12,-53425.98781769177
S3_6month_realignment,S3: 6-month persistent realignment,MMR,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,93970340.44,7265098.862199774
S3_6month_realignment,S3: 6-month persistent realignment,MNE,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,173455.837,13410.335624305093
S3_6month_realignment,S3: 6-month persistent realignment,MSR,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,595.081,46.007306941461415
S3_6month_realignment,S3: 6-month persistent realignment,MUS,urea,0.2159629278487387,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.02152902644787188,0.07446968103733087,-0.09887424686138953,-0.03015818791479853,-0.05078279479975479,-0.02970796706557829,3447455.938,-102416.90746613631
S3_6month_realignment,S3: 6-month persistent realignment,MWI,urea,0.7923380712717062,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.07898701625314154,0.07446968103733087,-0.47596799663574263,-0.4291955175176105,-0.7332777718709292,-0.34896737154672175,28658998.77,-10001055.471927632
S3_6month_realignment,S3: 6-month persistent realignment,MYS,urea,0.1762305807846881,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.01756816724254987,0.07446968103733087,-0.07952522888459702,-0.009683225207206067,-0.016666015592847562,-0.00963649374074118,63055548.864,-607634.4019469356
S3_6month_realignment,S3: 6-month persistent realignment,NAM,urea,0.1383599601289139,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.013792900802994385,0.07446968103733087,-0.06160240460977653,0.009282551716554671,0.0,0.009325768216034699,37375168.446,348552.1579626498
S3_6month_realignment,S3: 6-month persistent realignment,NLD,urea,2.711668058674637e-06,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,2.7032219804847684e-07,0.07446968103733087,-1.1524599329340197e-06,0.07446846151424308,0.0,0.07731136621728218,123948799.31,9582651.015647823
S3_6month_realignment,S3: 6-month persistent realignment,NZL,urea,0.5836833679968183,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.05818653595763348,0.07446968103733087,-0.31242369541404585,-0.2561343589322071,-0.43313372600936906,-0.2259620371088379,191756752.741,-43329746.478732094
S3_6month_realignment,S3: 6-month persistent realignment,OMN,urea,0.9945341948606088,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.09914365024474762,0.07446968103733087,-0.6912153538041205,-0.6569684006797643,-1.1379672588114893,-0.48157940186656994,4088309.4859999996,-1968845.6369133038
S3_6month_realignment,S3: 6-month persistent realignment,PAK,urea,0.2611903705221426,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.026037683647441374,0.07446968103733087,-0.12162356407341046,-0.05423131772934503,-0.09100570162804157,-0.05278702599619323,68085895.301,-3594051.925227978
S3_6month_realignment,S3: 6-month persistent realignment,PAN,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,13648577.0,1055208.0663862072
S3_6month_realignment,S3: 6-month persistent realignment,PER,urea,0.0002237704070898,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,2.2307342563264378e-05,0.07446968103733087,-9.510928790192433e-05,0.07436903721523751,0.0,0.07720426061442329,173129979.535,13366372.06018991
S3_6month_realignment,S3: 6-month persistent realignment,PHL,urea,0.1426332350045069,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.014218897286428356,0.07446968103733087,-0.06360034689434164,0.007168346550304971,0.0,0.007194100647758058,336140830.0,2418230.9628409315
S3_6month_realignment,S3: 6-month persistent realignment,POL,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,445944055.0,34477130.0328946
S3_6month_realignment,S3: 6-month persistent realignment,PRT,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,85318693.486,6596216.8495631125
S3_6month_realignment,S3: 6-month persistent realignment,PRY,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,35128495.36,2715878.1214981205
