refYear,layer,importer,world_total_imports_usd
2020,lpg_butane,SVN,12211032.965
2020,lpg_butane,SWE,56721353.786
2020,lpg_butane,SYC,1132.176
2020,lpg_butane,TGO,95996.605
2020,lpg_butane,THA,55555574.948
2020,lpg_butane,TTO,8592.753
2020,lpg_butane,TUR,120044.0
2020,lpg_butane,TZA,5817.639999999999
2020,lpg_butane,UGA,13807230.0
2020,lpg_butane,UKR,173899926.70999998
2020,lpg_butane,URY,9239851.93
2020,lpg_butane,USA,228246787.0
2020,lpg_butane,UZB,165882.0
2020,lpg_butane,VNM,215778503.347
2020,lpg_butane,ZAF,8470820.441
2020,lpg_butane,ZMB,85641.442
2020,lpg_butane,ZWE,18025747.546
2020,lpg_propane,AGO,8416.554
2020,lpg_propane,AND,868501.214
2020,lpg_propane,ARG,108779.2
2020,lpg_propane,ARM,3009622.71
2020,lpg_propane,ATG,3341.664
2020,lpg_propane,AUS,152952786.015
2020,lpg_propane,AZE,108139.73
2020,lpg_propane,BEL,383194853.424
2020,lpg_propane,BEN,2566.295
2020,lpg_propane,BGR,78751537.877
2020,lpg_propane,BIH,6274170.76
2020,lpg_propane,BLR,3787500.0
2020,lpg_propane,BLZ,4098767.06
2020,lpg_propane,BMU,1221982.72
2020,lpg_propane,BRA,524578614.0
2020,lpg_propane,BRB,4882356.5
2020,lpg_propane,BRN,3526.9300000000003
2020,lpg_propane,BWA,104091.839
2020,lpg_propane,CAN,64876456.246
2020,lpg_propane,CHE,9922960.648
2020,lpg_propane,CHL,371939628.589
2020,lpg_propane,CHN,6556169695.0
2020,lpg_propane,COD,35739.441
2020,lpg_propane,COL,6162380.24
2020,lpg_propane,CRI,970.8
2020,lpg_propane,CYP,957.7339999999999
2020,lpg_propane,CZE,38281013.0
2020,lpg_propane,DEU,349233102.449
2020,lpg_propane,DNK,6752594.2190000005
2020,lpg_propane,DOM,247037153.094
2020,lpg_propane,ECU,259544762.511
2020,lpg_propane,ESP,533678368.627
2020,lpg_propane,EST,4575974.94
2020,lpg_propane,FIN,46465425.486
2020,lpg_propane,FJI,721005.175
2020,lpg_propane,FRA,566121214.672
2020,lpg_propane,GBR,129583025.495
2020,lpg_propane,GEO,8324368.24
2020,lpg_propane,GHA,3995.155
2020,lpg_propane,GRC,23811694.658
2020,lpg_propane,GRD,3448913.979
2020,lpg_propane,GTM,227892343.0
2020,lpg_propane,GUY,9705623.602
2020,lpg_propane,HKG,144676.808
2020,lpg_propane,HRV,6110403.0
2020,lpg_propane,HUN,84374976.0
2020,lpg_propane,IDN,1281982414.0
2020,lpg_propane,IND,3419039187.14
2020,lpg_propane,IRL,58817758.786
2020,lpg_propane,ISL,1555502.331
2020,lpg_propane,ISR,8817000.0
2020,lpg_propane,ITA,932354097.4070001
2020,lpg_propane,JPN,3337281096.087
2020,lpg_propane,KAZ,138023.161
2020,lpg_propane,KEN,1015.3439999999999
2020,lpg_propane,KGZ,7464151.0
2020,lpg_propane,KIR,370813.697
2020,lpg_propane,KOR,2563860810.0
2020,lpg_propane,LAO,16974310.78
2020,lpg_propane,LSO,421247.862
2020,lpg_propane,LTU,3663570.0
2020,lpg_propane,LUX,3924929.609
2020,lpg_propane,LVA,10580623.975
2020,lpg_propane,MAR,61464962.576
2020,lpg_propane,MDA,16559195.0
2020,lpg_propane,MEX,1425064517.0
2020,lpg_propane,MKD,8110253.09
2020,lpg_propane,MLT,1899.757
2020,lpg_propane,MNE,1373318.652
2020,lpg_propane,MNG,8983686.63
2020,lpg_propane,MOZ,1465.96
