period_dt,total_index,energy,non_energy,agriculture,beverages,food,oils_meals,grains,other_food,raw_materials,timber,other_raw_mat,fertilizers,metals_minerals,base_metals_ex_iron,precious_metals
2015-02-01,77.76117071738,73.7661946658,86.13774516614,91.9894735642,94.72273530718,94.28580890764,90.10150486039,93.80247221663,100.22814682307,85.02056433193,96.6361610714,72.31797006228,101.69905265602,72.37040325316,79.1932349431,96.15093913178
2015-03-01,75.48991330945,71.14510517814,84.50289627396,89.80129569541,89.35624115916,92.43033750257,87.81640497104,92.61776642604,98.33075217297,83.64017078997,94.64095343324,71.60992544828,100.88430969039,71.77724587365,79.21122266598,92.44039416072
2015-04-01,76.87452433601,73.35885198935,84.18618285749,89.4543290707,91.19571591152,91.4667852638,85.46003913391,90.69579352266,100.06708781566,83.67947299147,94.56347425823,71.77693752793,95.15832024818,72.13660554901,80.57367286302,93.85047230901
2015-05-01,81.05676887472,79.25739760999,84.87115397262,89.27827767283,93.81989436604,89.67462331746,85.41982630321,87.35219759579,97.37434377115,86.00600056865,96.95452443328,74.03290442702,95.4072527346,74.63688614214,82.37703495064,94.27141269539
2015-06-01,78.91434992866,76.68485816076,83.55057577637,89.08421070244,96.74816676995,88.89722505282,85.99511129536,86.33101194895,95.03802557338,85.64152174389,96.97102134472,73.25179782911,100.1885932898,70.3133685838,76.67714740197,92.3661981527
2015-07-01,74.0245605921,69.97397856757,82.31333421359,89.42246342316,97.0038170543,89.91972027278,86.79556053316,88.85496583926,94.99360539238,84.35936490997,97.05518776627,70.47545603469,99.80917670459,65.74767692707,72.68204723566,87.86552020129
2015-08-01,66.38047167888,60.2653078988,78.81375139005,85.60770607625,94.43375896775,84.67843516813,80.85942192479,81.6417694648,92.45133161365,83.37754198808,97.2646251088,68.19089368857,98.43518872006,62.65317938594,68.26260584007,87.04970761517
2015-09-01,66.13432467767,60.30927899984,77.95745993529,83.85633135549,92.32223966888,82.8904516348,79.38933309612,80.50878706814,89.65225645319,81.89823773182,96.52962235725,65.89763555282,99.60652030013,63.40239009603,69.06485785962,87.26457695803
2015-10-01,66.29629192452,60.50797016356,78.02249700848,84.76387784895,93.31425297709,84.2385999366,81.38384154801,82.95927579903,89.15227878476,81.69236379864,96.46905875208,65.53285302619,95.4687723803,62.21665659974,68.21386932265,90.47880117113
2015-11-01,62.51979723105,55.87089746843,75.98872096912,83.70331212692,93.89826678268,82.90603992985,78.2956220685,82.0300189657,89.76440714032,80.45638691114,95.39711209847,64.11749581449,96.557487953,57.8325425273,63.80827108429,84.38866044367
2015-12-01,57.26747225745,48.30035030932,75.46823984447,83.65797074141,93.46031766997,83.02931785434,78.26767981536,82.60592321579,89.67693703765,80.20100791879,94.45163410021,64.61679588637,96.24798508873,56.31368037882,62.94991632356,83.35200335075
2016-01-01,51.78850384051,40.85613576544,74.02812845495,82.30086453706,86.04508331789,83.11096691934,77.98568192155,82.76968454798,90.16267458893,78.4288010636,92.14837545235,63.42533710722,90.31730941755,55.21308139438,61.37354476967,84.73117435884
2016-02-01,53.29915065183,42.84032596702,74.59960789833,82.53367716885,84.8160187902,83.81598799498,79.84385543921,82.60724878966,90.13578873609,78.2576907741,92.244441228,62.96204818668,80.30048803834,57.68103065508,63.62631989644,92.31131596421
2016-03-01,58.04536647574,48.74117216575,76.9880112129,84.41305084038,88.42000432019,85.84938529633,81.7091512433,82.90223138767,93.96385696675,78.88592022116,92.11751008461,64.41610680154,81.99744177384,61.19185775563,66.45999257943,95.58880718073
2016-04-01,61.01134393594,52.27638246936,78.82886448498,86.8949779865,89.80764190985,88.46474160757,86.96739413148,84.31434923614,94.19135115058,81.60009897896,93.21429697254,68.89903435103,81.36309726546,61.99894560548,66.70247811347,96.30053530592
2016-05-01,64.96240308094,57.65393070474,79.948702585,89.62282468035,90.91744411976,92.46804593943,92.40180864038,85.90429906149,98.49633049468,82.05188514815,94.44555268591,68.49840754592,81.08696508505,59.97948963399,65.13632196809,98.12401380013
2016-06-01,67.25821880286,60.2313572061,81.64066359209,92.57130663382,93.74874826594,96.83340292046,96.65717622109,88.83461876462,104.3053058596,81.61756039591,93.56621457804,68.55074088176,72.54103878824,60.25668067631,65.97995821616,99.31846573549
2016-07-01,65.16454838336,57.27880424145,81.36940407645,90.34724377602,95.43084831639,93.31729051718,92.04388461551,82.47753950708,104.80412370258,80.54640244799,88.56294097144,71.77966935676,76.65463031369,63.49255155392,69.12657408221,105.89866481747
2016-08-01,65.6711981602,58.41562604055,80.53927663407,89.14531474423,94.5913624412,91.54979494166,91.8529615906,77.70104377044,103.68607934315,80.5342581315,88.99603605386,71.28061975558,72.69475673646,63.78019705978,68.90257925517,105.8107323914
2016-09-01,65.92581691447,59.08669511717,79.90448826371,88.61020744062,95.14405919251,90.53596212563,90.34384152317,75.43337604736,104.45874627702,80.60911677904,89.01253814923,71.41929601162,73.05125868776,62.82845413738,68.22363588113,104.5806893216
2016-10-01,69.36979328765,64.394119652,79.52474711796,87.39294517309,95.06812123006,89.35467327902,88.37319161198,75.5280584509,103.16099755325,78.72411204654,84.57684445881,72.32367590286,72.96639047487,64.1328563209,69.62408007216,98.98851242345
2016-11-01,67.93468377446,60.92628963232,82.22930663633,87.87521589149,94.1616346254,89.92126610375,88.91008087867,75.0562623694,104.70656081828,79.70767467082,84.05310593899,74.95559420829,74.51043954205,71.52669221327,76.50393541616,96.95616820503
2016-12-01,73.88222931656,69.58576556728,82.74027605902,87.65561633844,87.36018588594,90.28651341412,92.18753197237,74.69581192336,101.89739010517,81.41390280484,82.83872973314,79.85573934751,75.02915253434,73.53505724321,77.87633646355,90.82099631616
2017-01-01,74.80175506488,70.23070326191,84.29627470201,89.46658495824,88.61079999635,92.13198273765,93.10699915828,77.88563218356,103.7442702826,83.42597984085,82.23569194729,84.72765589892,76.79330701687,74.5445265546,79.05831284289,93.57665332136
2017-02-01,75.00183109902,70.09883077985,85.24418167687,89.27550376139,85.57778994951,91.73785677771,90.80470909542,78.1062378781,105.30409351626,85.17327831069,83.41664489398,87.09429899292,76.75358379617,77.94041741155,81.80451642902,97.29362063808
2017-03-01,71.83038760131,65.93761041425,84.0094545731,87.6787365345,84.306130405,90.40664496624,87.74670915621,77.39625790579,105.68233002245,82.76601566988,82.68239989,82.85745628634,76.44786976355,77.34271792858,81.35314499749,96.74215579874
2017-04-01,72.20698112826,67.43688044593,82.30617493675,86.81022024497,82.79787429247,89.42474426305,86.0047384943,78.79832694146,103.54253485142,82.49827024405,84.69417075651,80.09687547357,73.74138825674,74.04135598388,80.06213657089,99.36802744074
2017-05-01,70.51482115191,64.86642013185,82.41699344241,88.14998716832,82.40721456512,91.81853067796,87.20883826579,83.42059946181,105.48436346213,82.15711923179,85.77015188568,78.20597587559,68.50559852449,72.23872226729,79.08194126906,96.77208254417
2017-06-01,67.50014398712,60.60971168123,81.64129830359,87.1149390473,82.02912489625,91.52072359875,85.31111772286,86.59819429092,104.14565110617,78.9968448692,85.36576387598,72.03191694565,70.25871604161,71.70786089173,79.21654831476,97.85098193063
2017-07-01,69.50712651314,62.90735989839,83.00515672731,87.49952816735,83.39744340695,91.67612020299,86.76029470867,85.42715607679,103.79957307371,79.43806346962,86.02324236406,72.23663787218,68.91560614106,75.38731558352,82.11621004092,95.6074876359
2017-08-01,72.08310582255,66.40945721224,83.75825941843,85.55257475984,83.61775985634,88.5015326084,85.93303564126,78.49074184725,100.94185141251,79.37170927776,86.41043464412,71.67429393959,70.74848845154,81.55521096138,88.39035433151,99.40316638392
2017-09-01,75.27347602462,70.74093857992,84.58813784227,86.10124596333,82.56003550665,89.21272238906,87.63512892251,79.61191094631,99.97832307321,80.34235409844,87.96686924329,72.00433027064,74.07601719778,82.67827989338,90.49802240698,101.80753849714
2017-10-01,76.94136824924,73.27645764667,84.43837652991,85.30108528036,82.62910917322,88.60248565631,87.7937915073,79.07824847631,98.2872156819,78.63877099338,87.00991789646,69.48424496546,78.08694341217,83.3900822677,92.94825316694,99.06328758276
2017-11-01,80.87750911342,78.95326292098,84.80567575865,85.58166228721,81.78232018492,89.1912239248,87.22348062471,80.32720793718,99.80319687686,78.74389545439,87.12358866337,69.58002334991,82.67508395184,83.45610945792,92.61845927772,99.27550111529
2017-12-01,81.92744277947,80.82823822651,84.23139298243,84.84946334879,77.58408100616,88.20048648571,85.31600529872,81.40231643545,98.14862465096,80.40225113101,88.02142144745,72.07007230526,74.09940833622,84.11395678797,92.15269085267,97.34961401349
2018-01-01,87.27651981421,87.41186077085,87.10133040926,87.03009785985,78.19259592492,90.63713866905,87.01057051671,86.08770760722,99.52612748313,82.76026845738,90.36553397791,74.44329565029,75.45335079228,88.56962577713,96.99230641663,102.66845854779
